game_id,season,season_type,week,gameday,away_team,away_score,home_team,home_score,location,result,total,spread_line,total_line,div_game,roof,surface,temp,wind,away_coach,home_coach,stadium_id,stadium,game_type
2025_04_BAL_KC,2025,REG,4,2025-09-28,BAL,20,KC,37,Home,17,57,-2.5,48.5,0,outdoors,grass,89.0,10.0,John Harbaugh,Andy Reid,KAN00,GEHA Field at Arrowhead Stadium,REG
2025_04_CAR_NE,2025,REG,4,2025-09-28,CAR,13,NE,42,Home,29,55,5.5,42.5,0,outdoors,fieldturf,76.0,7.0,Dave Canales,Mike Vrabel,BOS00,Gillette Stadium,REG
2025_04_CHI_LV,2025,REG,4,2025-09-28,CHI,25,LV,24,Home,-1,49,1.5,47.5,0,dome,grass,,,Ben Johnson,Pete Carroll,VEG00,Allegiant Stadium,REG
2025_04_CIN_DEN,2025,REG,4,2025-09-29,CIN,3,DEN,28,Home,25,31,7.5,44.5,0,outdoors,grass,66.0,12.0,Zac Taylor,Sean Payton,DEN00,Empower Field at Mile High,REG
2025_04_CLE_DET,2025,REG,4,2025-09-28,CLE,10,DET,34,Home,24,44,10.0,44.5,0,dome,fieldturf,,,Kevin Stefanski,Dan Campbell,DET00,Ford Field,REG
2025_04_GB_DAL,2025,REG,4,2025-09-28,GB,40,DAL,40,Home,0,80,-7.0,47.5,0,closed,matrixturf,,,Matt LaFleur,Brian Schottenheimer,DAL00,AT&T Stadium,REG
2025_04_IND_LA,2025,REG,4,2025-09-28,IND,20,LA,27,Home,7,47,3.5,49.5,0,dome,matrixturf,,,Shane Steichen,Sean McVay,LAX01,SoFi Stadium,REG
2025_04_JAX_SF,2025,REG,4,2025-09-28,JAX,26,SF,21,Home,-5,47,3.5,45.5,0,outdoors,grass,72.0,7.0,Liam Coen,Kyle Shanahan,SFO01,Levi's Stadium,REG
2025_04_LAC_NYG,2025,REG,4,2025-09-28,LAC,18,NYG,21,Home,3,39,-6.0,43.5,0,outdoors,fieldturf,81.0,4.0,Jim Harbaugh,Brian Daboll,NYC01,MetLife Stadium,REG
2025_04_MIN_PIT,2025,REG,4,2025-09-28,MIN,21,PIT,24,Neutral,3,45,-2.5,41.5,0,outdoors,grass,61.0,5.0,Kevin O'Connell,Mike Tomlin,PIT00,Acrisure Stadium,REG
